GPU reduction,512,67800
CPU,1024,1600
GPU atomic,1024,27500
GPU reduction,1024,76000
CPU,2048,2900
GPU atomic,2048,26400
GPU reduction,2048,90200
CPU,2,100
GPU atomic,2,21100
GPU reduction,2,30600
CPU,4,100
GPU atomic,4,23800
GPU reduction,4,35000
CPU,8,200
GPU atomic,8,37500
GPU reduction,8,40800
CPU,16,200
GPU atomic,16,21000
GPU reduction,16,41800
CPU,32,200
GPU atomic,32,25600
GPU reduction,32,47100
CPU,64,200
GPU atomic,64,23900
GPU reduction,64,84800
CPU,128,400
GPU atomic,128,36200
GPU reduction,128,55200
CPU,256,700
GPU atomic,256,22200
GPU reduction,256,61300
CPU,512,900
GPU atomic,512,21600
GPU reduction,512,64700
CPU,1024,1500
GPU atomic,1024,26000
GPU reduction,1024,78700
CPU,2048,2800
GPU atomic,2048,25300
GPU reduction,2048,77900
CPU,2,100
GPU atomic,2,21100
GPU reduction,2,24500
CPU,4,100
GPU atomic,4,21900
GPU reduction,4,29300
CPU,8,200
GPU atomic,8,21700
GPU reduction,8,50500
CPU,16,200
GPU atomic,16,87600
GPU reduction,16,43400
CPU,32,200
GPU atomic,32,25000
GPU reduction,32,53800
CPU,64,300
GPU atomic,64,29100
GPU reduction,64,52500
CPU,128,400
GPU atomic,128,21000
GPU reduction,128,56800
CPU,256,500
GPU atomic,256,25300
GPU reduction,256,61600
CPU,512,800
GPU atomic,512,20600
GPU reduction,512,64900
CPU,1024,1500
GPU atomic,1024,24200
GPU reduction,1024,73400
CPU,2048,18300
GPU atomic,2048,24900
GPU reduction,2048,75600
CPU,2,100
GPU atomic,2,19800
GPU reduction,2,24700
CPU,4,100
GPU atomic,4,23500
GPU reduction,4,32500
CPU,8,200
GPU atomic,8,21600
GPU reduction,8,47400
CPU,16,200
GPU atomic,16,19900
GPU reduction,16,40300
CPU,32,200
GPU atomic,32,21500
GPU reduction,32,46200
CPU,64,200
GPU atomic,64,19600
GPU reduction,64,51300
CPU,128,300
GPU atomic,128,19700
GPU reduction,128,57600
CPU,256,800
GPU atomic,256,21900
GPU reduction,256,65600
CPU,512,800
GPU atomic,512,27000
GPU reduction,512,70800
CPU,1024,1600
GPU atomic,1024,25600
GPU reduction,1024,88400
CPU,2048,3900
GPU atomic,2048,26700
GPU reduction,2048,91800
CPU,2,100
GPU atomic,2,24600
GPU reduction,2,27100
CPU,4,200
GPU atomic,4,26700
GPU reduction,4,36500
CPU,8,200
GPU atomic,8,22500
GPU reduction,8,37600
CPU,16,200
GPU atomic,16,34600
GPU reduction,16,46800
CPU,32,300
GPU atomic,32,37900
GPU reduction,32,48000
CPU,64,300
GPU atomic,64,35400
GPU reduction,64,51500
CPU,128,400
GPU atomic,128,20300
GPU reduction,128,54400
CPU,256,600
GPU atomic,256,23200
GPU reduction,256,65000
CPU,512,800
GPU atomic,512,26400
GPU reduction,512,74700
CPU,1024,1600
GPU atomic,1024,24100
GPU reduction,1024,90400
CPU,2048,3000
GPU atomic,2048,30400
GPU reduction,2048,77700
CPU,2,100
GPU atomic,2,27900
GPU reduction,2,26100
CPU,4,100
GPU atomic,4,58600
GPU reduction,4,31500
CPU,8,200
GPU atomic,8,22600
GPU reduction,8,37200
CPU,16,100
GPU atomic,16,22900
GPU reduction,16,41700
CPU,32,200
GPU atomic,32,43100
GPU reduction,32,47800
CPU,64,200
GPU atomic,64,21800
GPU reduction,64,52900
CPU,128,300
GPU atomic,128,20400
GPU reduction,128,55000
CPU,256,800
GPU atomic,256,27200
GPU reduction,256,68300
CPU,512,1100
GPU atomic,512,20700
GPU reduction,512,66500
CPU,1024,1700
GPU atomic,1024,28400
GPU reduction,1024,74000
CPU,2048,3200
GPU atomic,2048,24800
GPU reduction,2048,78200
CPU,2,100
GPU atomic,2,23700
GPU reduction,2,25200
CPU,4,200
GPU atomic,4,20400
GPU reduction,4,31100
CPU,8,100
GPU atomic,8,22400
GPU reduction,8,36800
CPU,16,200
GPU atomic,16,25700
GPU reduction,16,45900
CPU,32,300
GPU atomic,32,22800
GPU reduction,32,47100
CPU,64,200
GPU atomic,64,23800
GPU reduction,64,53100
CPU,128,400
GPU atomic,128,37100
GPU reduction,128,63100
CPU,256,500
GPU atomic,256,24200
GPU reduction,256,64900
CPU,512,1200
GPU atomic,512,37000
GPU reduction,512,73500
CPU,1024,2000
GPU atomic,1024,28200
GPU reduction,1024,123300
CPU,2048,3200
GPU atomic,2048,33200
GPU reduction,2048,82900
CPU,2,200
GPU atomic,2,26900
GPU reduction,2,33200
CPU,4,100
GPU atomic,4,39600
GPU reduction,4,31900
CPU,8,200
GPU atomic,8,97800
GPU reduction,8,43000
CPU,16,200
GPU atomic,16,24800
GPU reduction,16,41600
CPU,32,200
GPU atomic,32,25500
GPU reduction,32,57800
CPU,64,300
GPU atomic,64,25500
GPU reduction,64,52400
CPU,128,400
GPU atomic,128,22300
GPU reduction,128,57100
CPU,256,600
GPU atomic,256,26600
